ダウンロード実行日,2026年08月08日現在,件数,6369件
ファンドコード,証券コード,ファンド名,ファンド名（ヨミ）,特定有価証券区分名,特定期1,特定期2,ＥＤＩＮＥＴコード,発行者名
"G01003","","しんきんインデックスファンド２２５","シンキンインデックスファンドニィニィゴ","内国投資信託受益証券","1月13日","","E12422","しんきんアセットマネジメント投信株式会社"
"G01034","","三菱ＵＦＪ　日本株オープン「３５」","ミツビシユーエフジェイニホンカブオープンサンジュウゴ","内国投資信託受益証券","3月23日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01045","","グローイング・エンジェル","グローイング　エンジェル","内国投資信託受益証券","3月10日","","E06458","ドイチェ・アセット・マネジメント株式会社"
"G01051","","三菱ＵＦＪ　日本成長株オープン","ミツビシユーエフジェイニホンセイチョウカブオープン","内国投資信託受益証券","4月20日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01060","","損保ジャパン－ＴＣＷ外国株式ファンドＡコース（為替ヘッジあり）／Ｂコース（為替ヘッジなし）","ソンポジャパンティーシーダブリューガイコクカブシキファンド　エーコース　カワセヘッジアリ　　ビーコース　カワセヘッジナシ","内国投資信託受益証券","7月15日","","E12434","ＳＯＭＰＯアセットマネジメント株式会社"
"G01074","","シナプス（Ｓｙｎａｐｓｅ）","シナプス","内国投資信託受益証券","3月22日","","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G01075","","ピクテ・ニッポン・グロース・ファンド","ピクテニッポングロースファンド","内国投資信託受益証券","5月27日","11月27日","E10439","ピクテ・ジャパン株式会社"
"G01097","","東海ＭＲＦ（マネー・リザーブ・ファンド）","トウカイエムアールエフマネーリザーブファンド","内国投資信託受益証券","5月31日","11月30日","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01100","","ジャパン・グロース・ファンド","ジャパングロースファンド","内国投資信託受益証券","6月21日","","E12444","三井住友トラスト・アセットマネジメント株式会社"
"G01105","","ＡＬＡＭＣＯ　クオンツ　日本株オープン","アラムコクオンツニホンカブオープン","内国投資信託受益証券","6月22日","","E12447","朝日ライフ　アセットマネジメント株式会社"
"G01107","","大同リサーチ＆アクティブオープン","ダイドーリサーチアンドアクティブオープン","内国投資信託受益証券","6月29日","","E11764","Ｔ＆Ｄアセットマネジメント株式会社"
"G01117","","ニッセイ日本株オープン","ニッセイニホンカブオープン","内国投資信託受益証券","1月25日","7月25日","E12453","ニッセイアセットマネジメント株式会社"
"G01125","","りそな・日経２２５オープン","リソナニッケイニイニイゴオープン","内国投資信託受益証券","7月11日","","E09666","アムンディ・ジャパン株式会社"
"G01126","","三井住友・スーパーアクティブ・オープン","ミツイスミトモスーパーアクティブオープン","内国投資信託受益証券","1月27日","7月27日","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G01131","","ドイチェ・ジャパン・グロース・オープン","ドイチェジャパングロースオープン","内国投資信託受益証券","3月10日","","E06458","ドイチェ・アセット・マネジメント株式会社"
"G01146","","日興エコファンド","ニッコウエコファンド","内国投資信託受益証券","8月19日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G01156","","さわかみファンド","サワカミファンド","内国投資信託受益証券","8月23日","","E12468","さわかみ投信株式会社"
"G01157","","デジタル情報通信革命","デジタルジョウホウツウシンカクメイ","内国投資信託受益証券","8月20日","","E06748","大和アセットマネジメント株式会社"
"G01158","","損保ジャパン・グリーン・オープン","ソンポジャパングリーンオープン","内国投資信託受益証券","7月15日","","E12434","ＳＯＭＰＯアセットマネジメント株式会社"
"G01164","","三井住友・日本株・成長力ファンド","ミツイスミトモニホンカブセイチョウリョクファンド","内国投資信託受益証券","9月20日","","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G01170","","ノムラ・ボンド＆ローン・ファンド","ノムラ　ボンドアンドローン　ファンド","内国投資信託受益証券","3月15日","9月15日","E12460","野村アセットマネジメント株式会社"
"G01179","","三菱ＵＦＪ　日本株グロースオープン","ミツビシユーエフジェイニホンカブグロースオープン","内国投資信託受益証券","4月20日","10月20日","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01186","","ＪＰＭ・Ｅ－フロンティア・オープン","ジェイピーエムイーフロンティアオープン","内国投資信託受益証券","10月28日","","E06264","ＪＰモルガン・アセット・マネジメント株式会社"
"G01189","","損保ジャパン日本株ファンド","ソンポジャパンニホンカブファンド","内国投資信託受益証券","7月15日","","E12434","ＳＯＭＰＯアセットマネジメント株式会社"
"G01194","","アセット・ナビゲーション・ファンド（株式８０）","アセットナビゲーションファンドカブシキハチジュウ","内国投資信託受益証券","10月26日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G01202","","フィデリティ・テクノロジー厳選株式ファンド","フィデリティテクノロジーゲンセンカブシキファンド","内国投資信託受益証券","2月20日","","E12481","フィデリティ投信株式会社"
"G01204","","ＡＬＡＭＣＯ　リサーチ　日本株オープン","アラムコリサーチニホンカブオープン","内国投資信託受益証券","10月19日","","E12447","朝日ライフ　アセットマネジメント株式会社"
"G01205","","ｎｅｔＷＩＮ　ＧＳテクノロジー株式ファンドＡコース（為替ヘッジあり）／Ｂコース（為替ヘッジなし）","ネットウィン　ジーエス　テクノロジーカブシキファンド　エーコース　カワセヘッジアリ　ビーコース　カワセヘッジナシ","内国投資信託受益証券","11月30日","5月30日","E12457","ゴールドマン・サックス・アセット・マネジメント株式会社"
"G01207","","次世代ファンド","ジセダイファンド","内国投資信託受益証券","11月29日","","E12444","三井住友トラスト・アセットマネジメント株式会社"
"G01208","","ＣＢオープン","シービーオープン","内国投資信託受益証券","11月29日","","E12444","三井住友トラスト・アセットマネジメント株式会社"
"G01213","","ＤＬＩＢＪ公社債オープン（短期コース）","ディエルアイビィジェイコウシャサイオープンタンキコース","内国投資信託受益証券","3月21日","9月21日","E10677","アセットマネジメントＯｎｅ株式会社"
"G01214","","ＤＬＩＢＪ公社債オープン（中期コース）","ディエルアイビィジェイコウシャサイオープンチュウキコース","内国投資信託受益証券","3月21日","9月21日","E10677","アセットマネジメントＯｎｅ株式会社"
"G01217","","ＪＰＭザ・ジャパン","ジェイピーエムザジャパン","内国投資信託受益証券","12月14日","","E06264","ＪＰモルガン・アセット・マネジメント株式会社"
"G01221","","新世代成長株ファンド","シンセダイセイチョウカブファンド","内国投資信託受益証券","12月14日","","E06748","大和アセットマネジメント株式会社"
"G01231","","エコ・パートナーズ","エコパートナーズ","内国投資信託受益証券","1月27日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01237","","三井住友・日本株グロース・オープン","ミツイスミトモニホンカブグロースオープン","内国投資信託受益証券","1月27日","7月27日","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G01240","","野村国内株式アクティブオープン","ノムラコクナイカブシキアクティブオープン","内国投資信託受益証券","2月27日","8月27日","E12460","野村アセットマネジメント株式会社"
"G01241","","ニッセイグローバルバランスオープン（債券重視型）／ニッセイグローバルバランスオープン（標　準　型）／ニッセイグローバルバランスオープン（株式重視型）","ニッセイグローバルバランスオープンサイケンジュウシガタ　ニッセイグローバルバランスオープンヒョウジュンガタ　ニッセイグローバルバランスオープンカブシキジュウシガタ","内国投資信託受益証券","12月20日","","E12453","ニッセイアセットマネジメント株式会社"
"G01246","","三菱ＵＦＪ　ターゲット・イヤーファンド　２０３０／２０４０","ミツビシユーエフジェイターゲットイヤーファンドニイゼロサンゼロニイゼロヨンゼロ","内国投資信託受益証券","2月7日","8月7日","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01247","","三菱ＵＦＪ　ライフ・バランスファンド（安定型）／（安定成長型）／（成長型）／（積極型）","ミツビシユーエフジェイライフバランスファンドアンテイガタアンテイセイチョウガタセイチョウガタセッキョクガタ","内国投資信託受益証券","2月7日","8月7日","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01258","","ニッセイ日本株グロースオープン","ニッセイニホンカブグロースオープン","内国投資信託受益証券","2月25日","8月25日","E12453","ニッセイアセットマネジメント株式会社"
"G01259","","新経済大国日本","シンケイザイタイコクニッポン","内国投資信託受益証券","2月24日","8月24日","E06748","大和アセットマネジメント株式会社"
"G01260","","Ｏｎｅ成長株オープン","ワンセイチョウカブオープン","内国投資信託受益証券","1月20日","","E10677","アセットマネジメントＯｎｅ株式会社"
"G01265","","日興クオンツ・アクティブ・ジャパン","ニッコウクオンツアクティブジャパン","内国投資信託受益証券","2月15日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G01269","","ダイワ・バリュー株・オープン","ダイワバリューカブオープン","内国投資信託受益証券","3月9日","9月9日","E06748","大和アセットマネジメント株式会社"
"G01274","","青のライフキャンバス・ファンド（標準型）赤のライフキャンバス・ファンド（積極型）","アオノライフキャンパスファンドヒョウジュンガタアカノライフキャンパスファンドセッキョクガタ","内国投資信託受益証券","2月15日","","E11764","Ｔ＆Ｄアセットマネジメント株式会社"
"G01276","","ルーミス　グローバル　ボンドファンド（為替ヘッジあり・年２回決算型）","ルーミスグローバルボンドファンドカワセヘッジアリネンニカイケッサンガタ","内国投資信託受益証券","2月24日","8月24日","E12447","朝日ライフ　アセットマネジメント株式会社"
"G01283","","三菱ＵＦＪ　ＭＲＦ（マネー・リザーブ・ファンド）","ミツビシユーエフジェイエムアールエフマネーリザーブファンド","内国投資信託受益証券","4月30日","10月31日","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01291","","ハリス　グローバル　バリュー株ファンド（年１回決算型）","ハリスグローバルバリューカブファンドネンイッカイケッサンガタ","内国投資信託受益証券","3月16日","","E12447","朝日ライフ　アセットマネジメント株式会社"
"G01293","","日本株バリュー・ファンド","ニホンカブバリューファンド","内国投資信託受益証券","6月10日","12月10日","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01294","","日本株グロース・ファンド","ニホンカブグロースファンド","内国投資信託受益証券","6月10日","12月10日","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01295","","日本・小型株・ファンド","ニホンコガタカブファンド","内国投資信託受益証券","6月10日","12月10日","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01296","","日本株スタイル・ミックス・ファンド","ニホンカブスタイルミックスファンド","内国投資信託受益証券","6月10日","12月10日","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01297","","日本株インカム・ファンド","ニホンカブインカムファンド","内国投資信託受益証券","6月10日","12月10日","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01304","","日興エボリューション","ニッコウエボリューション","内国投資信託受益証券","4月20日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G01315","","フィデリティ・日本優良株・ファンド","フィデリティニホンユウリョウカブファンド","内国投資信託受益証券","10月31日","","E12481","フィデリティ投信株式会社"
"G01316","","フィデリティ・ジャパン・アグレッシブ・グロース","フィデリティジャパンアグレッシブグロース","内国投資信託受益証券","10月31日","","E12481","フィデリティ投信株式会社"
"G01318","","三菱ＵＦＪ　スタイルセレクト・グロースファンド／バリューファンド／ブレンドファンド　ＢＷマネープールファンド","ミツビシユーエフジェイタイルセレクトグロースファンドバリューファンドブレンドファンドビーダブリューマネープールファンド","内国投資信託受益証券","3月10日","9月10日","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01321","","三菱ＵＦＪ　トピックスインデックスオープン","ミツビシユーエフジェイ　トピックスインデックスオープン","内国投資信託受益証券","2月20日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01330","","ＧＳ　日本小型株ファンド","ジーエスニホンコガタカブファンド","内国投資信託受益証券","4月15日","10月15日","E12457","ゴールドマン・サックス・アセット・マネジメント株式会社"
"G01331","","三菱ＵＦＪ　日本株式オープン","ミツビシユーエフジェイ　ニホンカブシキオープン","内国投資信託受益証券","2月15日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01332","","三菱ＵＦＪ　日本バランスオープン　株式２０型　三菱ＵＦＪ　日本バランスオープン　株式４０型","ミツビシユーエフジェイ　ニホンバランスオープン　カブシキニジュウガタ　　ミツビシユーエフジェイ　ニホンバランスオープン　カブシキヨンジュウガタ","内国投資信託受益証券","2月15日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01333","","ピクテ・バイオ医薬品ファンド（１年決算型）円コース","ピクテバイオイヤクヒンファンドイチネンケッサンガタエンコース","内国投資信託受益証券","4月13日","","E10439","ピクテ・ジャパン株式会社"
"G01338","","ＪＰＭ中小型株・アクティブ・オープン","ジェイピーエムチュウコガタカブアクティブオープン","内国投資信託受益証券","9月10日","","E06264","ＪＰモルガン・アセット・マネジメント株式会社"
"G01339","","インベスコ　ジャパン・エンタープライズ・オープン","インベスコ　ジャパンエンタープライズオープン","内国投資信託受益証券","4月27日","","E06479","インベスコ・アセット・マネジメント株式会社"
"G01347","","ダイワ投信倶楽部日本債券インデックス","ダイワトウシンクラブニホンサイケンインデックス","内国投資信託受益証券","11月30日","","E06748","大和アセットマネジメント株式会社"
"G01348","","ダイワ投信倶楽部外国株式インデックス","ダイワトウシンクラブガイコクカブシキインデックス","内国投資信託受益証券","11月30日","","E06748","大和アセットマネジメント株式会社"
"G01349","","ダイワライフスタイル２５","ダイワライフスタイルニジュウゴ","内国投資信託受益証券","11月30日","","E06748","大和アセットマネジメント株式会社"
"G01354","","三井住友・げんきシニアライフ・オープン","ミツイスミトモゲンキシニアライフオープン","内国投資信託受益証券","5月25日","11月25日","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G01363","","日本株式インデックス・オープン","ニホンカブシキインデックスオープン","内国投資信託受益証券","5月29日","","E12444","三井住友トラスト・アセットマネジメント株式会社"
"G01364","","外国株式インデックス・オープン","ガイコクカブシキインデックスオープン","内国投資信託受益証券","5月29日","","E12444","三井住友トラスト・アセットマネジメント株式会社"
"G01378","","三菱ＵＦＪ　グローバルイノベーション","ミツビシユーエフジェイ　グローバルイノベーション","内国投資信託受益証券","6月20日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01379","","三菱　ＭＲＦ（マネー・リザーブ・ファンド）","ミツビシエムアールエフマネーリザーブファンド","内国投資信託受益証券","5月31日","11月30日","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01383","","キャッシュフロー経営評価オープン","キャッシュフローケイエイヒョウカオープン","内国投資信託受益証券","6月29日","","E12444","三井住友トラスト・アセットマネジメント株式会社"
"G01384","","中小型株式オープン","チュウコガタカブシキオープン","内国投資信託受益証券","6月29日","","E12444","三井住友トラスト・アセットマネジメント株式会社"
"G01389","","ストラテジック・バリュー・オープン","ストラテジック　バリュー　オープン","内国投資信託受益証券","7月24日","","E12460","野村アセットマネジメント株式会社"
"G01393","","しんきんトピックスオープン","シンキントピックスオープン","内国投資信託受益証券","7月18日","","E12422","しんきんアセットマネジメント投信株式会社"
"G01396","","ニッセイ日本株リサーチオープン","ニッセイニホンカブリサーチオープン","内国投資信託受益証券","1月25日","7月25日","E12453","ニッセイアセットマネジメント株式会社"
"G01406","","三井住友・日経２２５オープン","ミツイスミトモニッケイニィニィゴオープン","内国投資信託受益証券","1月11日","","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G01407","","三菱ＵＦＪ　ライフプラン　２５　三菱ＵＦＪ　ライフプラン　５０　三菱ＵＦＪ　ライフプラン　７５","ミツビシユーエフジェイライフプランニジュウゴミツビシユーエフジェイライフプランゴジュウミツビシユーエフジェイライフプランナナジュウゴ","内国投資信託受益証券","12月15日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01408","","三菱ＵＦＪ　海外株式オープン","ミツビシユーエフジェイカイガイカブシキオープン","内国投資信託受益証券","12月15日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01409","","三菱ＵＦＪ　海外債券オープン","ミツビシユーエフジェイカイガイサイケンオープン","内国投資信託受益証券","12月15日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01411","","三井住友・ＤＣ日本株式リサーチファンド","ミツイスミトモディーシーニホンカブシキリサーチファンド","内国投資信託受益証券","1月17日","","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G01413","","三井住友・グローバル株式年金ファンド　Ａコース　（為替ヘッジあり）　三井住友・グローバル株式年金ファンド　Ｂコース　（為替ヘッジなし）","ミツイスミトモグローバルカブシキネンキンファンドエーコースカワセヘッジアリ　ミツイスミトモグローバルカブシキネンキンファンドビーコースカワセヘッジナシ","内国投資信託受益証券","1月23日","","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G01417","","ハッピーエイジング・ファンド　ハッピーエイジング２０　３０　４０　５０　６０","ハッピーエイジングファンド　ハッピーエイジング　ニジュー　サンジュー　ヨンジュー　ゴジュー　ロクジュー","内国投資信託受益証券","7月15日","","E12434","ＳＯＭＰＯアセットマネジメント株式会社"
"G01418","","損保ジャパン日本債券ファンド","ソンポジャパンニホンサイケンファンド","内国投資信託受益証券","7月15日","","E12434","ＳＯＭＰＯアセットマネジメント株式会社"
"G01419","","損保ジャパン外国債券ファンド","ソンポジャパンガイコクサイケンファンド","内国投資信託受益証券","7月15日","","E12434","ＳＯＭＰＯアセットマネジメント株式会社"
"G01423","","ＪＰＭ日本中小型株ファンド","ジェイピーエムニホンチュウコガタカブファンド","内国投資信託受益証券","7月15日","","E06264","ＪＰモルガン・アセット・マネジメント株式会社"
"G01425","","アムンディ・ターゲット・ジャパン・ファンド","アムンディターゲットジャパンファンド","内国投資信託受益証券","2月20日","8月20日","E09666","アムンディ・ジャパン株式会社"
"G01428","","Ｏｎｅ国内株オープン","ワンコクナイカブオープン","内国投資信託受益証券","8月29日","","E10677","アセットマネジメントＯｎｅ株式会社"
"G01433","","三菱ＵＦＪ　ライフセレクトファンド（安定型）　三菱ＵＦＪ　ライフセレクトファンド（安定成長型）　三菱ＵＦＪ　ライフセレクトファンド（成長型）","ミツビシユーエフジェイライフセレクトファンドアンテイガタミツビシユーエフジェイライフセレクトファンドアンテイセイチョウガタミツビシユーエフジェイライフセレクトファンドセイチョウガタ","内国投資信託受益証券","5月20日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01434","","三菱ＵＦＪ　外国債券オープン","ミツビシユーエフジェイ　ガイコクサイケンオープン","内国投資信託受益証券","8月10日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01435","","三井住友・バリュー株式年金ファンド","ミツイスミトモバリューカブシキネンキンファンド","内国投資信託受益証券","2月21日","","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G01443","","ファンド・オブ・オールスター・ファンズ","ファンドオブオールスターファンズ","内国投資信託受益証券","3月27日","9月27日","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01445","","ミュータント","ミュータント","内国投資信託受益証券","9月27日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G01449","","ニッセイ日本ストラテジックオープン","ニッセイニホンストラテジックオープン","内国投資信託受益証券","9月25日","","E12453","ニッセイアセットマネジメント株式会社"
"G01451","","フィデリティ・中小型株・オープン","フィデリティチュウコガタカブオープン","内国投資信託受益証券","3月13日","9月13日","E12481","フィデリティ投信株式会社"
"G01452","","日本インデックスオープン２２５","ニホンインデックスオープンニーニーゴ","内国投資信託受益証券","9月6日","","E12441","ＳＢＩ岡三アセットマネジメント株式会社"
"G01454","","ＡＬＡＭＣＯ　ＳＲＩ　社会貢献ファンド","アラムコエスアールアイシャカイコウケンファンド","内国投資信託受益証券","9月20日","","E12447","朝日ライフ　アセットマネジメント株式会社"
"G01455","","三菱ＵＦＪ　バリューオープン","ミツビシユーエフジェイ　バリューオープン","内国投資信託受益証券","9月25日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
